"client","order_fabrication_id","interior_diameter","interior_diameterx","diamter_exterior","diamter_exteriorx","length","lengthp","flat_crush","flat_crushp","h2o","humidité (_)","date contrôle","mois","trial358"
"NORSKE SKOG GOLBEY","48319","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.859","7","7.24","2007-04-06 00:00:00",200704,"T"
"NORSKE SKOG GOLBEY","48612","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.349","7","7.34","2007-04-12 00:00:00",200704,"T"
"NORSKE SKOG GOLBEY","48613","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.329","7","7.45","2007-04-23 00:00:00",200704,"T"
"NORSKE SKOG GOLBEY","48614","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.69","7","7.4","2007-05-03 00:00:00",200705,"T"
"NORSKE SKOG GOLBEY","48900","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.356","7","7.73","2007-05-16 00:00:00",200705,"T"
"NORSKE SKOG GOLBEY","48902","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.483","7","7.82","2007-05-22 00:00:00",200705,"T"
"NORSKE SKOG GOLBEY","48901","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.256","7","7.77","2007-06-12 00:00:00",200706,"T"
"NORSKE SKOG GOLBEY","49163","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.172","7","7.92","2007-06-20 00:00:00",200706,"T"
"NORSKE SKOG GOLBEY","49164","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.589","7","7.59","2007-07-03 00:00:00",200707,"T"
"NORSKE SKOG GOLBEY","49477","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.706","7","7.51","2007-07-13 00:00:00",200707,"T"
"NORSKE SKOG GOLBEY","49481","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.277","7","7.69","2007-07-26 00:00:00",200707,"T"
"NORSKE SKOG GOLBEY","49483","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.156","7","7.86","2007-08-16 00:00:00",200708,"T"
"NORSKE SKOG GOLBEY","49479","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.25","7","7.7","2007-08-27 00:00:00",200708,"T"
"NORSKE SKOG GOLBEY","50035","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.358","7","7.53","2007-09-06 00:00:00",200709,"T"
"NORSKE SKOG GOLBEY","49906","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.554","7","7.68","2007-09-17 00:00:00",200709,"T"
"NORSKE SKOG GOLBEY","50316","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.674","7","7.58","2007-10-19 00:00:00",200710,"T"
"NORSKE SKOG GOLBEY","50316","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.509","7","7.74","2007-10-19 00:00:00",200710,"T"
"NORSKE SKOG GOLBEY","50317","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.507","7","7.93","2007-11-08 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50317","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.671","7","7.64","2007-11-08 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50317","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.548","7","7.08","2007-11-08 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50548","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.258","7","7.82","2007-11-08 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50549","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.311","7","7.91","2007-11-13 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50551","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.691","7","7.87","2007-11-26 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50550","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.611","7","7.9","2007-11-26 00:00:00",200711,"T"
"NORSKE SKOG GOLBEY","50848","76.5",NULL,"106.5",NULL,"9870",NULL,"3","3.517","7","7.67","2007-12-06 00:00:00",200712,"T"
