"N°","N°OF","N°_Palette","Diamètre_intérieure__mm_","Diamètre_extérieure__mm_","Longueur___mm_","Validation_géométrie__x_","Flat_Crush__kN_","Humidité__%_","Valeurstemp","Date_et_heure_d_importation"
7557,"38227","8",,,2155,"",,,,2004-08-26 13:24:49
7558,"38227","8",,,2155,"",,,,2004-08-26 13:24:49
7559,"38227","8",77.3,103.8,2155,"1",,,,2004-08-26 13:24:49
7560,"38227","8",,,2154,"",,,,2004-08-26 13:24:50
7561,"38227","8",,,2155,"",,,,2004-08-26 13:24:50
7562,"38227","8",77.3,103.88,2155,"1",,,,2004-08-26 13:24:51
7563,"38227","8",,,2154,"",,,,2004-08-26 13:24:51
7564,"38227","8",,,2155,"",,,,2004-08-26 13:24:51
7565,"38227","8",77.3,103.85,2155,"1",,,,2004-08-26 13:24:52
7566,"38227","8",,,2155,"",,,,2004-08-26 13:24:52
7567,"38227","8",,,2155,"",,,,2004-08-26 13:24:53
7568,"38227","8",77.4,103.48,2155,"1",,,,2004-08-26 13:24:53
7569,"38227","8",,,2155,"",,,,2004-08-26 13:24:53
7570,"38227","8",,,2155,"",,,,2004-08-26 13:24:54
7571,"38227","8",77.3,103.79,2155,"1",,,,2004-08-26 13:24:54
7572,"38227","8",,,2155,"",,,,2004-08-26 13:24:55
7573,"38227","8",,,2155,"",,,,2004-08-26 13:24:55
7574,"38227","8",77.4,103.7,2155,"1",,,,2004-08-26 13:24:55
7575,"38227","8",,,2155,"",,,,2004-08-26 13:24:56
7576,"38227","8",,,2155,"",,,,2004-08-26 13:24:56
7577,"38227","8",77.3,103.6,2155,"1",,,,2004-08-26 13:24:57
7578,"38227","8",,,2155,"",,,,2004-08-26 13:24:57
7579,"38227","8",,,2155,"",,,,2004-08-26 13:24:57
7580,"38227","8",77.3,103.61,2155,"1",,,,2004-08-26 13:24:58
7581,"38227","8",,,2155,"",,,,2004-08-26 13:24:58
7582,"38227","8",,,2155,"",,,,2004-08-26 13:24:59
7583,"38227","8",77.3,103.75,2155,"1",,,,2004-08-26 13:24:59
7584,"38475","8",76.5,82.43,840.17,"1",,,,2004-08-26 13:24:59
7585,"38475","8",76.5,82.49,840.24,"1",,,,2004-08-26 13:25:00
7586,"38475","8",76.5,82.58,840.14,"1",,,,2004-08-26 13:25:00
7587,"38239","8",,,8626,"",,,,2004-08-26 13:25:01
7588,"38239","8",,,8629,"",,,,2004-08-26 13:25:01
7589,"38239","8",76.5,106.39,8622,"1",,,,2004-08-26 13:25:01
7590,"38239","7",,,8623,"",,,,2004-08-26 13:25:02
7591,"38239","7",,,8630,"",,,,2004-08-26 13:25:02
7592,"38239","7",76.5,106.57,8624,"1",,,,2004-08-26 13:25:03
7593,"38239","6",,,8625,"",,,,2004-08-26 13:25:03
7594,"38239","6",,,8637,"",,,,2004-08-26 13:25:03
7595,"38239","6",76.5,106.54,8622,"1",,,,2004-08-26 13:25:04
7596,"38239","5",,,8622,"",,,,2004-08-26 13:25:04
7597,"38239","5",,,8628,"",,,,2004-08-26 13:25:05
7598,"38239","5",76.5,106.71,8622,"1",,,,2004-08-26 13:25:05
7599,"38239","4",,,8626,"",,,,2004-08-26 13:25:05
7600,"38239","4",,,8630,"",,,,2004-08-26 13:25:06
7601,"38239","4",76.5,106.7,8621,"1",,,,2004-08-26 13:25:06
7602,"38239","3",,,8626,"",,,,2004-08-26 13:25:07
7603,"38239","3",,,8631,"",,,,2004-08-26 13:25:07
7604,"38239","3",76.5,106.61,8621,"1",,,,2004-08-26 13:25:07
7605,"38239","2",,,8622,"",,,,2004-08-26 13:25:08
7606,"38239","2",,,8633,"",,,,2004-08-26 13:25:08
7607,"38239","2",76.5,106.85,8621,"1",,,,2004-08-26 13:25:08
7608,"38239","1",,,8624,"",,,,2004-08-26 13:25:09
7609,"38239","1",,,8629,"",,,,2004-08-26 13:25:09
7610,"38239","1",76.5,106.85,8620,"1",,,,2004-08-26 13:25:10
7611,"1","",,,,"",,,,2004-08-26 13:25:10
7612,"38523","",,,,"",0.534,8.17,,2004-08-26 16:00:15
7613,"38510","",,,,"",1.568,8.94,,2004-08-26 16:14:33
7614,"38436","",,,,"",4.012,,,2004-08-26 21:17:22
7615,"38436","",,,,"",3.962,,,2004-08-26 21:17:31
7616,"38436","",,,,"",4.017,,,2004-08-26 21:17:39
7617,"38436","",,,,"",4.017,,,2004-08-26 21:17:47
7618,"38436","",,,,"",3.877,,,2004-08-26 21:17:55
7619,"38436","",,,,"",3.875,7.65,,2004-08-26 21:18:02
7620,"38438","",,,,"",3.823,,,2004-08-26 21:24:31
7621,"38438","",,,,"",3.756,,,2004-08-26 21:24:39
7622,"38438","",,,,"",3.914,,,2004-08-26 21:24:44
7623,"38438","",,,,"",3.776,,,2004-08-26 21:24:48
7624,"38438","",,,,"",3.897,,,2004-08-26 21:24:55
7625,"38438","",,,,"",3.937,7.84,,2004-08-26 21:25:01
7626,"38522","",,,,"",0.795,7.76,,2004-08-27 05:51:03
7627,"38522","",,,,"",0.808,,,2004-08-27 05:51:28
7628,"38210","5",,,3206,"",,,,2004-08-27 05:51:52
7629,"38210","5",150.6,168.72,3207,"1",,,,2004-08-27 05:51:52
7630,"38210","5",,,3208,"",,,,2004-08-27 05:51:52
7631,"38210","5",150.6,168.81,3208,"1",,,,2004-08-27 05:51:53
7632,"38210","5",,,3206,"",,,,2004-08-27 05:51:53
7633,"38210","5",150.6,168.71,3208,"1",,,,2004-08-27 05:51:54
7634,"38210","5",,,3207,"",,,,2004-08-27 05:51:54
7635,"38210","5",150.6,168.59,3209,"1",,,,2004-08-27 05:51:54
7636,"38210","5",,,3208,"",,,,2004-08-27 05:51:55
7637,"38210","5",150.6,168.79,3208,"1",,,,2004-08-27 05:51:55
7638,"38210","5",,,3208,"",,,,2004-08-27 05:51:56
7639,"38210","5",150.6,168.72,3207,"1",,,,2004-08-27 05:51:56
7640,"38522","5",128.5,144.27,222.29,"1",,,,2004-08-27 05:51:56
7641,"38522","4",128.5,144.29,222.26,"1",,,,2004-08-27 05:51:57
7642,"38522","3",128.5,144.23,222.08,"1",,,,2004-08-27 05:51:57
7643,"38522","2",128.5,144.3,222.04,"1",,,,2004-08-27 05:51:58
7644,"38522","1",128.5,144.22,222.2,"1",,,,2004-08-27 05:51:58
7645,"38275","",128.5,144.25,5216,"1",,,,2004-08-27 05:51:58
7646,"38275","",,,5218,"",,,,2004-08-27 05:51:59
7647,"38275","",128.5,144.19,5218,"1",,,,2004-08-27 05:51:59
7648,"38275","",,,5218,"",,,,2004-08-27 05:52:00
7649,"38275","",128.5,144.28,5215,"1",,,,2004-08-27 05:52:00
7650,"38419","",,,5224,"",,,,2004-08-27 05:52:00
7651,"38419","",128.5,140.25,5223,"1",,,,2004-08-27 05:52:01
7652,"38441","",,,4528,"",,,,2004-08-27 05:52:01
7653,"38441","",128.5,140.31,4527,"1",,,,2004-08-27 05:52:02
7654,"38441","",,,4527,"",,,,2004-08-27 05:52:02
7655,"38441","",128.5,140.23,4527,"1",,,,2004-08-27 05:52:02
7656,"38441","",,,4527,"",,,,2004-08-27 05:52:03
7657,"38441","",128.5,140.26,4526,"1",,,,2004-08-27 05:52:03
7658,"38523","",,,3520,"",,,,2004-08-27 05:52:03
7659,"38523","",128.5,140.17,3520,"1",,,,2004-08-27 05:52:04
7660,"38510","",,,3167,"",,,,2004-08-27 05:52:04
7661,"38510","",76.6,94.74,3167,"1",,,,2004-08-27 05:52:05
7662,"1","",,,,"",,,,2004-08-27 05:52:05
7663,"38495","",,,,"",1.793,9.47,,2004-08-27 06:09:49
7664,"38495","",,,,"",1.776,,,2004-08-27 06:09:55
7665,"38493","",,,,"",1.67,9.27,,2004-08-27 06:20:31
7666,"38493","",,,,"",1.637,,,2004-08-27 06:20:35
7667,"38494","",,,,"",1.697,9.86,,2004-08-27 06:25:11
7668,"33981","",,,,"",2.505,7.54,,2004-08-27 10:33:45
7669,"33981","",,,,"",2.466,,,2004-08-27 10:33:51
7670,"33754","",,,,"",2.656,7.37,,2004-08-27 10:37:26
7671,"33754","",,,,"",2.44,,,2004-08-27 10:37:32
7672,"38511","",,,,"",0.949,8.25,,2004-08-27 10:44:41
7673,"38522","8",128.4,144.3,221.73,"1",,,,2004-08-27 11:59:07
7674,"38522","7",128.4,144.21,221.77,"1",,,,2004-08-27 11:59:07
7675,"38522","6",128.6,144.02,221.63,"1",,,,2004-08-27 11:59:08
7676,"33981","1",,,2157,"",,,,2004-08-27 11:59:08
7677,"33981","1",,,2159,"",,,,2004-08-27 11:59:09
7678,"33981","1",76.6,105.07,2157,"1",,,,2004-08-27 11:59:09
7679,"33981","1",,,2157,"",,,,2004-08-27 11:59:09
7680,"33981","1",,,2159,"",,,,2004-08-27 11:59:10
7681,"33981","1",76.6,104.85,2156,"1",,,,2004-08-27 11:59:10
7682,"33754","1",,,2158,"",,,,2004-08-27 11:59:11
7683,"33754","1",,,2159,"",,,,2004-08-27 11:59:11
7684,"33754","1",76.5,105.31,2157,"1",,,,2004-08-27 11:59:11
7685,"38511","1",,,1502,"",,,,2004-08-27 11:59:12
7686,"38511","1",,,1502,"",,,,2004-08-27 11:59:12
7687,"38511","1",76.5,90.82,1502,"1",,,,2004-08-27 11:59:13
7688,"38495","1",,,1705,"",,,,2004-08-27 11:59:13
7689,"38495","1",,,1707,"",,,,2004-08-27 11:59:13
7690,"38495","1",120.6,144.62,1707,"1",,,,2004-08-27 11:59:14
7691,"38495","2",,,1707,"",,,,2004-08-27 11:59:14
7692,"38495","2",,,1707,"",,,,2004-08-27 11:59:15
7693,"38495","2",120.6,144.5,1706,"1",,,,2004-08-27 11:59:15
7694,"38494","1",,,3508,"",,,,2004-08-27 11:59:15
7695,"38494","1",,,3508,"",,,,2004-08-27 11:59:16
7696,"38494","1",120.6,144.69,3508,"1",,,,2004-08-27 11:59:16
7697,"38493","1",,,3506,"",,,,2004-08-27 11:59:17
7698,"38493","1",,,3508,"",,,,2004-08-27 11:59:17
7699,"38493","1",150.4,174.45,3508,"1",,,,2004-08-27 11:59:17
7700,"38493","2",,,3507,"",,,,2004-08-27 11:59:18
7701,"38493","2",,,3508,"",,,,2004-08-27 11:59:18
7702,"38493","2",150.4,174.45,3508,"1",,,,2004-08-27 11:59:19
7703,"38493","3",,,3508,"",,,,2004-08-27 11:59:19
7704,"38493","3",,,3508,"",,,,2004-08-27 11:59:19
7705,"38493","3",150.4,174.48,3508,"1",,,,2004-08-27 11:59:20
7706,"38493","4",,,3507,"",,,,2004-08-27 11:59:20
7707,"38493","4",,,3508,"",,,,2004-08-27 11:59:20
7708,"38493","4",150.4,174.43,3508,"1",,,,2004-08-27 11:59:21
7709,"1","",,,,"",,,,2004-08-27 11:59:21
7710,"38496","",,,,"",4.238,,,2004-08-27 13:10:21
7711,"38496","",,,,"",4.338,7.97,,2004-08-27 13:10:26
7712,"38260","",,,,"",1.957,,,2004-08-27 13:15:48
7713,"38260","",,,,"",1.821,7.61,,2004-08-27 13:15:53
7714,"38261","",,,,"",1.818,,,2004-08-27 13:19:54
7715,"38261","",,,,"",1.948,7.61,,2004-08-27 13:19:59
7716,"38516","",,,,"",0.782,7.95,,2004-08-27 19:34:01
7717,"38516","",,,,"",0.779,,,2004-08-27 19:34:13
7718,"38521","",,,,"",1.368,,,2004-08-27 19:39:26
7719,"38521","",,,,"",1.373,9.12,,2004-08-27 19:39:32
7720,"38545","",,,,"",0.558,,,2004-08-30 06:03:29
7721,"38545","",,,,"",0.586,7.66,,2004-08-30 06:03:40
7722,"38521","1",,,9469,"",,,,2004-08-30 06:08:30
7723,"38521","1",,,9470,"",,,,2004-08-30 06:08:30
7724,"38521","1",154.7,179.24,9469,"1",,,,2004-08-30 06:08:31
7725,"38521","2",,,9470,"",,,,2004-08-30 06:08:31
7726,"38521","2",,,9470,"",,,,2004-08-30 06:08:31
7727,"38521","2",154.7,179.11,9470,"1",,,,2004-08-30 06:08:32
7728,"38521","3",,,9470,"",,,,2004-08-30 06:08:32
7729,"38521","3",,,9469,"",,,,2004-08-30 06:08:33
7730,"38521","3",154.7,179.32,9470,"1",,,,2004-08-30 06:08:33
7731,"38521","4",,,9470,"",,,,2004-08-30 06:08:33
7732,"38521","4",,,9470,"",,,,2004-08-30 06:08:34
7733,"38521","4",154.7,179.34,9470,"1",,,,2004-08-30 06:08:34
7734,"38516","2",128.5,144.21,5218,"1",,,,2004-08-30 06:08:35
7735,"38516","2",,,5218,"",,,,2004-08-30 06:08:35
7736,"38516","2",128.5,144.19,5218,"1",,,,2004-08-30 06:08:35
7737,"38275","2",,,5217,"",,,,2004-08-30 06:08:36
7738,"38275","2",128.5,144.2,5216,"1",,,,2004-08-30 06:08:36
7739,"38440","2",,,4245,"",,,,2004-08-30 06:08:37
7740,"38440","2",128.5,144.26,4245,"1",,,,2004-08-30 06:08:37
7741,"38440","2",,,4245,"",,,,2004-08-30 06:08:37
7742,"38440","2",128.5,144.23,4245,"1",,,,2004-08-30 06:08:38
7743,"38440","2",,,4245,"",,,,2004-08-30 06:08:38
7744,"38440","2",128.5,144.19,4244,"1",,,,2004-08-30 06:08:39
7745,"38270","2",,,2009,"",,,,2004-08-30 06:08:39
7746,"38270","2",,,2008,"",,,,2004-08-30 06:08:39
7747,"38270","2",128.5,140.27,2008,"1",,,,2004-08-30 06:08:40
7748,"38438","1",,,8335,"",,,,2004-08-30 06:08:40
7749,"38438","1",,,8338,"",,,,2004-08-30 06:08:41
7750,"38438","1",76.5,106.59,8332,"1",,,,2004-08-30 06:08:41
7751,"38438","2",,,8337,"",,,,2004-08-30 06:08:42
7752,"38438","2",,,8337,"",,,,2004-08-30 06:08:42
7753,"38438","2",76.5,106.52,8334,"1",,,,2004-08-30 06:08:42
7754,"38438","3",,,8335,"",,,,2004-08-30 06:08:43
7755,"38438","3",,,8335,"",,,,2004-08-30 06:08:43
7756,"38438","3",76.5,106.56,8330,"1",,,,2004-08-30 06:08:44
7757,"38438","4",,,8335,"",,,,2004-08-30 06:08:44
7758,"38438","4",,,8337,"",,,,2004-08-30 06:08:44
7759,"38438","4",76.5,106.59,8333,"1",,,,2004-08-30 06:08:45
7760,"38438","5",,,8333,"",,,,2004-08-30 06:08:45
7761,"38438","5",,,8334,"",,,,2004-08-30 06:08:45
7762,"38438","5",76.5,106.63,8332,"1",,,,2004-08-30 06:08:46
7763,"38438","6",,,8337,"",,,,2004-08-30 06:08:46
7764,"38438","6",,,8337,"",,,,2004-08-30 06:08:47
7765,"38438","6",76.5,106.69,8333,"1",,,,2004-08-30 06:08:47
7766,"38496","",,,1855,"",,,,2004-08-30 06:08:47
7767,"38496","",,,1855,"",,,,2004-08-30 06:08:48
7768,"38496","",77.4,103.34,1856,"1",,,,2004-08-30 06:08:48
7769,"38496","",,,1855,"",,,,2004-08-30 06:08:49
7770,"38496","",,,1855,"",,,,2004-08-30 06:08:49
7771,"38496","",77.4,103.38,1855,"1",,,,2004-08-30 06:08:49
7773,"1","",,,,"",,,,2004-08-30 07:19:09
7774,"38559","1",,,3408,"",,,,2004-08-30 07:23:33
7775,"38559","1",,,3408,"",,,,2004-08-30 07:23:33
7776,"38559","1",70.6,100.19,3408,"1",,,,2004-08-30 07:23:33
7777,"38477","1",,,2109,"",,,,2004-08-30 07:23:34
7778,"38477","1",,,2109,"",,,,2004-08-30 07:23:34
7779,"38477","1",128.5,140.27,2109,"1",,,,2004-08-30 07:23:35
7780,"38546","1",,,4528,"",,,,2004-08-30 07:23:35
7781,"38546","1",128.5,140.24,4528,"1",,,,2004-08-30 07:23:35
7782,"38546","1",,,4528,"",,,,2004-08-30 07:23:36
7783,"38546","1",128.5,140.31,4528,"1",,,,2004-08-30 07:23:36
7784,"38546","1",,,4528,"",,,,2004-08-30 07:23:37
7785,"38546","1",128.5,140.28,4528,"1",,,,2004-08-30 07:23:37
7786,"38546","1",,,4528,"",,,,2004-08-30 07:23:37
7787,"38546","1",128.5,140.35,4528,"1",,,,2004-08-30 07:23:38
7788,"38546","1",,,4528,"",,,,2004-08-30 07:23:38
7789,"38546","1",128.5,140.28,4528,"1",,,,2004-08-30 07:23:39
7790,"38546","1",,,4528,"",,,,2004-08-30 07:23:39
7791,"38546","1",128.5,140.13,4528,"1",,,,2004-08-30 07:23:39
7792,"38546","1",,,4528,"",,,,2004-08-30 07:23:40
7793,"38546","1",128.5,140.31,4528,"1",,,,2004-08-30 07:23:40
7794,"38546","1",,,4528,"",,,,2004-08-30 07:23:41
7795,"38546","1",128.5,140.33,4528,"1",,,,2004-08-30 07:23:41
7796,"38545","1",128.5,140.28,5228,"1",,,,2004-08-30 07:23:41
7797,"38545","1",,,5228,"",,,,2004-08-30 07:23:42
7798,"38545","1",128.5,140.35,5228,"1",,,,2004-08-30 07:23:42
7799,"38545","1",,,5228,"",,,,2004-08-30 07:23:43
7800,"38545","1",128.5,140.21,5228,"1",,,,2004-08-30 07:23:43
7801,"38545","1",,,5228,"",,,,2004-08-30 07:23:43
7802,"38545","1",128.5,140.25,5228,"1",,,,2004-08-30 07:23:44
7803,"38545","1",,,5228,"",,,,2004-08-30 07:23:44
7804,"38545","1",128.5,140.19,5228,"1",,,,2004-08-30 07:23:45
7805,"38545","1",,,5228,"",,,,2004-08-30 07:23:45
7806,"38545","1",128.5,140.36,5228,"1",,,,2004-08-30 07:23:45
7807,"38545","1",,,5228,"",,,,2004-08-30 07:23:46
7808,"38545","1",128.5,140.31,5226,"1",,,,2004-08-30 07:23:46
7809,"38545","1",,,5228,"",,,,2004-08-30 07:23:47
7810,"38545","1",128.5,140.35,5228,"1",,,,2004-08-30 07:23:47
7811,"1","",,,,"",,,,2004-08-30 07:23:47
7812,"38546","",,,,"",0.545,7.17,,2004-08-30 07:25:58
7813,"38546","",,,,"",0.567,,,2004-08-30 07:26:10
7814,"38477","",,,,"",0.575,7.81,,2004-08-30 07:27:19
7815,"38477","",,,,"",0.541,,,2004-08-30 07:27:32
7816,"38559","",,,,"",3.216,8.36,,2004-08-30 07:33:13
7817,"38514","",,,,"",3.621,,,2004-08-30 11:41:28
7818,"38514","",,,,"",3.624,,,2004-08-30 11:41:42
7819,"38514","",,,,"",3.466,,,2004-08-30 11:41:47
7820,"38514","",,,,"",3.501,,,2004-08-30 11:42:05
7821,"38514","",,,,"",3.56,,,2004-08-30 11:42:10
7822,"38514","",,,,"",3.601,,,2004-08-30 11:42:15
7823,"38514","",,,,"",3.583,,,2004-08-30 11:42:20
7824,"38514","",,,,"",3.592,8.22,,2004-08-30 11:42:26
7825,"38491","",,,,"",3.248,,,2004-08-30 11:43:06
7826,"38491","",,,,"",3.315,,,2004-08-30 11:43:10
7827,"38491","",,,,"",3.307,,,2004-08-30 11:43:13
7828,"38491","",,,,"",3.272,,,2004-08-30 11:43:19
7829,"38491","",,,,"",3.302,,,2004-08-30 11:43:23
7830,"38491","",,,,"",3.303,,,2004-08-30 11:43:27
7831,"38491","",,,,"",3.342,,,2004-08-30 11:43:33
7832,"38491","",,,,"",3.267,7.47,,2004-08-30 11:43:37
7833,"38512","",,,,"",2.648,,,2004-08-30 11:44:19
7834,"38512","",,,,"",2.654,7.03,,2004-08-30 11:44:25
7835,"38260","1",,,5496,"",,,,2004-08-30 12:59:46
7836,"38260","1",,,5492,"",,,,2004-08-30 12:59:46
7837,"38260","1",150.9,170.59,5492,"1",,,,2004-08-30 12:59:47
7838,"38260","2",,,5492,"",,,,2004-08-30 12:59:47
7839,"38260","2",,,5492,"",,,,2004-08-30 12:59:48
7840,"38260","2",150.9,170.56,5492,"1",,,,2004-08-30 12:59:48
7841,"38260","3",,,5492,"",,,,2004-08-30 12:59:48
7842,"38260","3",,,5493,"",,,,2004-08-30 12:59:49
7843,"38260","3",150.9,170.77,5495,"1",,,,2004-08-30 12:59:49
7844,"38260","4",,,5491,"",,,,2004-08-30 12:59:50
7845,"38260","4",,,5491,"",,,,2004-08-30 12:59:50
7846,"38260","4",150.9,170.58,5490,"1",,,,2004-08-30 12:59:51
7847,"38260","5",,,5491,"",,,,2004-08-30 12:59:51
7848,"38260","5",,,5491,"",,,,2004-08-30 12:59:51
7849,"38260","5",150.9,170.75,5491,"1",,,,2004-08-30 12:59:52
7850,"38260","6",,,5492,"",,,,2004-08-30 12:59:52
7851,"38260","6",,,5495,"",,,,2004-08-30 12:59:53
7852,"38260","6",150.9,170.65,5492,"1",,,,2004-08-30 12:59:53
7853,"38260","7",,,5493,"",,,,2004-08-30 12:59:53
7854,"38260","7",,,5492,"",,,,2004-08-30 12:59:54
7855,"38260","7",150.9,170.68,5493,"1",,,,2004-08-30 12:59:54
7856,"38260","8",,,5492,"",,,,2004-08-30 12:59:55
7857,"38260","8",,,5493,"",,,,2004-08-30 12:59:55
7858,"38260","8",150.9,170.74,5493,"1",,,,2004-08-30 12:59:55
7859,"38261","1",,,5493,"",,,,2004-08-30 12:59:56
7860,"38261","1",,,5494,"",,,,2004-08-30 12:59:56
7861,"38261","1",151,170.52,5493,"1",,,,2004-08-30 12:59:57
7862,"38261","2",,,5494,"",,,,2004-08-30 12:59:57
7863,"38261","2",,,5492,"",,,,2004-08-30 12:59:58
7864,"38261","2",150.9,170.74,5492,"1",,,,2004-08-30 12:59:58
7865,"38261","3",,,5492,"",,,,2004-08-30 12:59:58
7866,"38261","3",,,5492,"",,,,2004-08-30 12:59:59
7867,"38261","3",150.9,170.69,5492,"1",,,,2004-08-30 12:59:59
7868,"38261","4",,,5493,"",,,,2004-08-30 13:00:00
7869,"38261","4",,,5493,"",,,,2004-08-30 13:00:00
7870,"38261","4",150.9,170.66,5495,"1",,,,2004-08-30 13:00:00
7871,"38261","7",,,5492,"",,,,2004-08-30 13:00:01
7872,"38261","7",,,5495,"",,,,2004-08-30 13:00:01
7873,"38261","7",150.9,170.56,5492,"1",,,,2004-08-30 13:00:02
7874,"38261","8",,,5492,"",,,,2004-08-30 13:00:02
7875,"38261","8",,,5491,"",,,,2004-08-30 13:00:02
7876,"38261","8",150.9,170.68,5490,"1",,,,2004-08-30 13:00:03
7877,"38261","5",,,5495,"",,,,2004-08-30 13:00:03
7878,"38261","5",,,5494,"",,,,2004-08-30 13:00:04
7879,"38261","5",150.9,170.58,5494,"1",,,,2004-08-30 13:00:04
7880,"38261","6",,,5493,"",,,,2004-08-30 13:00:04
7881,"38261","6",,,5491,"",,,,2004-08-30 13:00:05
7882,"38261","6",150.9,170.71,5492,"1",,,,2004-08-30 13:00:05
7883,"38535","1",,,1319,"",,,,2004-08-30 13:00:06
7884,"38535","1",,,1320,"",,,,2004-08-30 13:00:06
7885,"38535","1",242.51,250.52,1320,"1",,,,2004-08-30 13:00:07
7886,"38535","2",,,1319,"",,,,2004-08-30 13:00:07
7887,"38535","2",,,1320,"",,,,2004-08-30 13:00:07
7888,"38535","2",242.56,250.57,1318,"1",,,,2004-08-30 13:00:08
7889,"38536","1",,,1470,"",,,,2004-08-30 13:00:08
7890,"38536","1",,,1471,"",,,,2004-08-30 13:00:09
7891,"38536","1",242.51,250.52,1472,"1",,,,2004-08-30 13:00:09
7892,"38536","2",,,1471,"",,,,2004-08-30 13:00:09
7893,"38536","2",,,1471,"",,,,2004-08-30 13:00:10
7894,"38536","2",242.57,250.16,1470,"1",,,,2004-08-30 13:00:10
7895,"38537","1",,,1626,"",,,,2004-08-30 13:00:11
7896,"38537","1",,,1626,"",,,,2004-08-30 13:00:11
7897,"38537","1",242.53,250.67,1625,"1",,,,2004-08-30 13:00:11
7898,"38537","2",,,1626,"",,,,2004-08-30 13:00:12
7899,"38537","2",,,1625,"",,,,2004-08-30 13:00:12
7900,"38537","2",242.52,250.39,1624,"1",,,,2004-08-30 13:00:13
7901,"38538","4",,,2136,"",,,,2004-08-30 13:00:13
7902,"38538","4",,,2136,"",,,,2004-08-30 13:00:14
7903,"38538","4",242.51,250.63,2136,"1",,,,2004-08-30 13:00:14
7904,"38538","7",,,2136,"",,,,2004-08-30 13:00:14
7905,"38538","7",,,2136,"",,,,2004-08-30 13:00:15
7906,"38538","7",242.52,250.42,2136,"1",,,,2004-08-30 13:00:15
7907,"38538","6",,,2136,"",,,,2004-08-30 13:00:16
7908,"38538","6",,,2136,"",,,,2004-08-30 13:00:16
7909,"38538","6",242.52,250.61,2136,"1",,,,2004-08-30 13:00:16
7910,"38538","5",,,2136,"",,,,2004-08-30 13:00:17
7911,"38538","5",,,2136,"",,,,2004-08-30 13:00:17
7912,"38538","5",242.57,250.69,2136,"1",,,,2004-08-30 13:00:18
7913,"38538","2",,,2136,"",,,,2004-08-30 13:00:18
7914,"38538","2",,,2136,"",,,,2004-08-30 13:00:19
7915,"38538","2",242.59,250.57,2135,"1",,,,2004-08-30 13:00:19
7916,"38538","1",,,2136,"",,,,2004-08-30 13:00:19
7917,"38538","1",,,2136,"",,,,2004-08-30 13:00:20
7918,"38538","1",242.54,250.52,2135,"1",,,,2004-08-30 13:00:20
7919,"38538","3",,,2136,"",,,,2004-08-30 13:00:21
7920,"38538","3",,,2136,"",,,,2004-08-30 13:00:21
7921,"38538","3",242.51,250.61,2135,"1",,,,2004-08-30 13:00:21
7922,"38538","8",,,2136,"",,,,2004-08-30 13:00:22
7923,"38538","8",,,2136,"",,,,2004-08-30 13:00:22
7924,"38538","8",242.51,250.66,2135,"1",,,,2004-08-30 13:00:23
7925,"38538","9",,,2135,"",,,,2004-08-30 13:00:23
7926,"38538","9",,,2135,"",,,,2004-08-30 13:00:23
7927,"38538","9",242.51,250.61,2135,"1",,,,2004-08-30 13:00:24
7928,"38538","10",,,2135,"",,,,2004-08-30 13:00:24
7929,"38538","10",,,2135,"",,,,2004-08-30 13:00:25
7930,"38538","10",242.56,250.6,2136,"1",,,,2004-08-30 13:00:25
7931,"1","",,,,"",,,,2004-08-30 13:00:25
7932,"38512","2",,,2159,"",,,,2004-08-30 20:03:50
7933,"38512","2",,,2159,"",,,,2004-08-30 20:03:50
7934,"38512","2",76.5,105.8,2159,"1",,,,2004-08-30 20:03:51
7935,"38512","6",,,2160,"",,,,2004-08-30 20:03:51
7936,"38512","6",,,2160,"",,,,2004-08-30 20:03:52
7937,"38512","6",76.5,106.32,2160,"1",,,,2004-08-30 20:03:52
7938,"38512","3",,,2159,"",,,,2004-08-30 20:03:52
7939,"38512","3",,,2160,"",,,,2004-08-30 20:03:53
7940,"38512","3",76.5,106.22,2160,"1",,,,2004-08-30 20:03:53
7941,"38512","4",,,2159,"",,,,2004-08-30 20:03:54
7942,"38512","4",,,2160,"",,,,2004-08-30 20:03:54
7943,"38512","4",76.5,106.15,2160,"1",,,,2004-08-30 20:03:55
7944,"38512","1",,,2159,"",,,,2004-08-30 20:03:55
7945,"38512","1",,,2159,"",,,,2004-08-30 20:03:55
7946,"38512","1",76.5,105.88,2159,"1",,,,2004-08-30 20:03:56
7947,"38512","5",,,2159,"",,,,2004-08-30 20:03:56
7948,"38512","5",,,2160,"",,,,2004-08-30 20:03:57
7949,"38512","5",76.5,106.22,2160,"1",,,,2004-08-30 20:03:57
7950,"38512","7",,,2159,"",,,,2004-08-30 20:03:57
7951,"38512","7",,,2160,"",,,,2004-08-30 20:03:58
7952,"38512","7",76.5,106.14,2160,"1",,,,2004-08-30 20:03:58
7953,"38514","6",,,5117,"",,,,2004-08-30 20:03:59
7954,"38514","6",,,5120,"",,,,2004-08-30 20:03:59
7955,"38514","6",150.2,176.53,5120,"1",,,,2004-08-30 20:03:59
7956,"38514","5",,,5118,"",,,,2004-08-30 20:04:00
7957,"38514","5",,,5119,"",,,,2004-08-30 20:04:00
7958,"38514","5",150.2,176.55,5120,"1",,,,2004-08-30 20:04:01
7959,"38514","8",,,5118,"",,,,2004-08-30 20:04:01
7960,"38514","8",,,5120,"",,,,2004-08-30 20:04:02
7961,"38514","8",150.2,176.49,5120,"1",,,,2004-08-30 20:04:02
